Bibtex Key,Aesthetic Tag,Approach,Evaluation Criterion,Graph Type,Paper TItle,Participants,Statistical Evaluation,Statistically Significant,Task,Task Group,Task Type,|E|,|G|,|N|
purchase_effective_2000,"Edge Orthogonality, Node Orthogonality",Quantitative,Error Rate,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,No,What is the minimum number of edges that must be removed in order to disconnect two given nodes such that there is no path between them?,Topology,Find Connected Components,28,1,16
purchase_effective_2000,Symmetry,Quantitative,Task Time,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,Yes,What is the minimum number of nodes that must be removed in order to disconnect two given nodes such that there is no path between them?,Topology,Find Bridges,28,1,16
purchase_effective_2000,Symmetry,Quantitative,Task Time,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,Yes,What is the minimum number of edges that must be removed in order to disconnect two given nodes such that there is no path between them?,Topology,Find Connected Components,28,1,16
purchase_effective_2000,Symmetry,Quantitative,Error Rate,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,No,What is the minimum number of nodes that must be removed in order to disconnect two given nodes such that there is no path between them?,Topology,Find Bridges,28,1,16
purchase_effective_2000,Symmetry,Quantitative,Error Rate,Node-Link,Effective information visualisation: a study of graph drawing aesthetics and algorithms,55,Yes,No,What is the minimum number of edges that must be removed in order to disconnect two given nodes such that there is no path between them?,Topology,Find Connected Components,28,1,16
huang_larger_2014,Crossing Resolution,Quantitative,Task Time,Node-Link,Larger crossing angles make graphs easier to read,22,Yes,Yes,,Topology,Find Shortest Path,,16,
huang_larger_2014,Crossing Resolution,Quantitative,Task Accuracy,Node-Link,Larger crossing angles make graphs easier to read,37,Yes,Yes,,Topology,Find Shortest Path,,16,
huang_larger_2014,Crossing Resolution,Quantitative,Task Time,Node-Link,Larger crossing angles make graphs easier to read,37,Yes,Yes,,Topology,Find Shortest Path,,16,
ehlers_improving_2023,"Edge Crossings, Number of Visual Elements",Quantitative,Task Accuracy,Node-Link,"Improving readability of static, straight-line graph drawings: A first look at edge crossing resolution through iterative vertex splitting",52,Yes,Yes,"Vertex Adjacency, i.e., identifying which vertices are adjacent to some given vertex.",Topology,Adjacency,,3,10
ehlers_improving_2023,"Edge Crossings, Number of Visual Elements",Quantitative,Task Accuracy,Node-Link,"Improving readability of static, straight-line graph drawings: A first look at edge crossing resolution through iterative vertex splitting",52,Yes,No,"Common Connections, i.e., identifying the set of vertices adjacent to two given vertices.",Topology,Common Connection,,3,10
ehlers_improving_2023,"Edge Crossings, Number of Visual Elements",Quantitative,Task Accuracy,Node-Link,"Improving readability of static, straight-line graph drawings: A first look at edge crossing resolution through iterative vertex splitting",5,Yes,Yes,"Path tracing, i.e., identifying which of a set of paths is indeed possible in the given graph drawing.",Browsing,Follow Path,,3,10
ehlers_improving_2023,"Edge Crossings, Number of Visual Elements",Quantitative,Task Time,Node-Link,"Improving readability of static, straight-line graph drawings: A first look at edge crossing resolution through iterative vertex splitting",52,Yes,No,"Vertex Adjacency, i.e., identifying which vertices are adjacent to some given vertex.",Topology,Adjacency,,3,10
ehlers_improving_2023,"Edge Crossings, Number of Visual Elements",Quantitative,Task Time,Node-Link,"Improving readability of static, straight-line graph drawings: A first look at edge crossing resolution through iterative vertex splitting",52,Yes,Yes,"Common Connections, i.e., identifying the set of vertices adjacent to two given vertices.",Topology,Common Connection,,3,10
ehlers_improving_2023,"Edge Crossings, Number of Visual Elements",Quantitative,Task Time,Node-Link,"Improving readability of static, straight-line graph drawings: A first look at edge crossing resolution through iterative vertex splitting",5,Yes,Yes,"Path tracing, i.e., identifying which of a set of paths is indeed possible in the given graph drawing.",Browsing,Follow Path,,3,10
archambault_mental_2013,Layout Stability,Quantitative,Task Time,Node-Link,Mental Map Preservation Helps User Orientation in Dynamic Graphs,28,Yes,Yes,The first task tests the ability of participants to revisit a particular node in the dynamic graph sequence.,Browsing,Revisit,,2,
archambault_mental_2013,Layout Stability,Quantitative,Task Time,Node-Link,Mental Map Preservation Helps User Orientation in Dynamic Graphs,28,Yes,Yes,The second task tests the ability of participants to follow a path through the evolving graph.,Browsing,Follow Path,,2,
archambault_mental_2013,Layout Stability,Quantitative,Error Rate,Node-Link,Mental Map Preservation Helps User Orientation in Dynamic Graphs,28,Yes,Yes,The first task tests the ability of participants to revisit a particular node in the dynamic graph sequence.,Browsing,Revisit,,2,
archambault_mental_2013,Layout Stability,Quantitative,Error Rate,Node-Link,Mental Map Preservation Helps User Orientation in Dynamic Graphs,28,Yes,Yes,The second task tests the ability of participants to follow a path through the evolving graph.,Browsing,Follow Path,,2,
purchase_usability_2013,Bend Resolution,Quantitative,Error Rate,Node-Link,On the Usability of Lombardi Graph Drawings,69,Yes,Yes,How long is the shortest path between two highlighted nodes?,Topology,Find Shortest Path,,8,
purchase_usability_2013,Bend Resolution,Quantitative,Error Rate,Node-Link,On the Usability of Lombardi Graph Drawings,69,Yes,Yes,How many common neighbors do the two highlighted nodes have?,Topology,Common Connection,,8,
purchase_usability_2013,Bend Resolution,Quantitative,Error Rate,Node-Link,On the Usability of Lombardi Graph Drawings,69,Yes,Yes,Which of the three highlighted nodes has the highest degree?,Topology,Adjacency,,8,
purchase_usability_2013,Bend Resolution,Quantitative,Task Time,Node-Link,On the Usability of Lombardi Graph Drawings,69,Yes,Yes,How long is the shortest path between two highlighted nodes?,Topology,Find Shortest Path,,8,
purchase_usability_2013,Bend Resolution,Quantitative,Task Time,Node-Link,On the Usability of Lombardi Graph Drawings,69,Yes,Yes,How many common neighbors do the two highlighted nodes have?,Topology,Common Connection,,8,
purchase_usability_2013,Bend Resolution,Quantitative,Task Time,Node-Link,On the Usability of Lombardi Graph Drawings,69,Yes,Yes,Which of the three highlighted nodes has the highest degree?,Topology,Adjacency,,8,
purchase_usability_2013,Bend Resolution,Quantitative,Preference,Node-Link,On the Usability of Lombardi Graph Drawings,69,Yes,No,How long is the shortest path between two highlighted nodes?,Topology,Find Shortest Path,,8,
purchase_usability_2013,Bend Resolution,Quantitative,Preference,Node-Link,On the Usability of Lombardi Graph Drawings,69,Yes,No,How many common neighbors do the two highlighted nodes have?,Topology,Common Connection,,8,
purchase_usability_2013,Bend Resolution,Quantitative,Preference,Node-Link,On the Usability of Lombardi Graph Drawings,69,Yes,No,Which of the three highlighted nodes has the highest degree?,Topology,Adjacency,,8,
kindermann_experimental_2018,Number of Visual Elements,Quantitative,Error Rate,Node-Link,Experimental Analysis of the Accessibility of Drawings with Few Segments,41,Yes,Yes,,Topology,Find Shortest Path,,4,
kindermann_experimental_2018,Number of Visual Elements,Quantitative,Error Rate,Node-Link,Experimental Analysis of the Accessibility of Drawings with Few Segments,42,Yes,Yes,,Topology,Find Shortest Path,,5,
kindermann_experimental_2018,Number of Visual Elements,Quantitative,Task Time,Node-Link,Experimental Analysis of the Accessibility of Drawings with Few Segments,41,Yes,No,,Topology,Find Shortest Path,,4,
kindermann_experimental_2018,Number of Visual Elements,Quantitative,Task Time,Node-Link,Experimental Analysis of the Accessibility of Drawings with Few Segments,42,Yes,No,,Topology,Find Shortest Path,,5,
kobourov_are_2014,Edge Crossings,Quantitative,Task Accuracy,Node-Link,Are Crossings Important for Drawing Large Graphs?,19,Yes,Yes,How many edges are in the shortest path between two given nodes?,Topology,Find Shortest Path,,2,40-120
burch_evaluating_2012,"Edge Crossings, Edge Length",Quantitative,Error Rate,Node-Link,Evaluating Partially Drawn Links for Directed Graph Edges,42,No,No,Is it possible to go from the node highlighted in green to the node highlighted in red by taking exactly one step?,Topology,Adjacency,,3,20-60
purchase_how_2007,Layout Stability,Quantitative,Task Time,Node-Link,How Important Is the “Mental Map”? – An Empirical Investigation of a Dynamic Graph Layout Algorithm,20,Yes,No,How many new links were added to the site over the years?,Topology,Adjacency,15-30,3,14-20
huang_layout_2006,Edge Crossings,Quantitative,Task Time,Node-Link,Layout Effects on Sociogram Perception,23,No,No,Find 3 most important actors and rate them according to their importance levels,Overview,Overview,23,2,14
